DATA_LANCAMENTO_OBRA;TITULO_ORIGINAL;CPB_ROE;TIPO_OBRA;PAIS_OBRA;PUBLICO_TOTAL;RENDA_TOTAL;RAZAO_SOCIAL_DISTRIBUIDORA;REGISTRO_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA
07/03/2024;APAIXONADA;B2400036500000;FICÇÃO;BRASIL;16969;R$ 341.936,81;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32
07/03/2024;LES FILLES D'OLFA;E2400053400000;DOCUMENTÁRIO;ALEMANHA;1393;R$ 21.639,59;SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA;277;02.185.369/0001-41
07/03/2024;NO WAY UP;E2300527300000;FICÇÃO;REINO UNIDO;172163;R$ 3.272.522,71;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
07/03/2024;O ÚLTIMO ANIMAL;E2400030600000;FICÇÃO;PORTUGAL;440;R$ 5.920,00;CINECOLOR DO BRASIL LTDA;2631;05.332.959/0001-48
07/03/2024;OS FAROFEIROS 2;B2400012600000;FICÇÃO;BRASIL;1548398;R$ 29.591.605,71;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;4904;07.616.202/0001-01
07/03/2024;THE IRON CLAW;E2400016800000;FICÇÃO;ESTADOS UNIDOS;11791;R$ 290.152,85;ANTONIO FERNANDES FILMES LTDA;532;02.668.665/0001-01
07/03/2024;UTOPIA TROPICAL;B2300363900000;DOCUMENTÁRIO;BRASIL;576;R$ 9.599,66;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
29/02/2024;AMANHÃ;B2100152900000;FICÇÃO;BRASIL;51;R$ 282,87;DESCOLONIZA FILMES E PRODUCOES ARTISTICAS EIRELI;43301;33.427.044/0001-51
29/02/2024;AMANHÃ;B2200397500000;DOCUMENTÁRIO;BRASIL;90;R$ 1.213,79;DESCOLONIZA FILMES E PRODUCOES ARTISTICAS EIRELI;43301;33.427.044/0001-51
29/02/2024;DUNE: PART TWO;E2300354600000;FICÇÃO;ESTADOS UNIDOS;1494980;R$ 35.209.798,17;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
29/02/2024;IO, CAPITANO;E2400051900000;FICÇÃO;BÉLGICA;8109;R$ 131.284,07;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
29/02/2024;LA SIRVIENTA;E2400037000000;FICÇÃO;ESPANHA;2154;R$ 37.152,02;AM DE MORAIS PRODUCOES E EVENTOS;51361;13.489.036/0001-22
29/02/2024;LAND OF BAD;E2400002900000;FICÇÃO;ESTADOS UNIDOS;142690;R$ 2.425.063,09;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32
29/02/2024;THE RETIREMENT PLAN;E2300333600000;FICÇÃO;CANADÁ;992;R$ 18.228,71;A2 DISTRIBUIDORA DE FILMES LTDA EPP;34811;18.338.912/0001-33
22/02/2024;BLUE WHALE;E2400009800000;FICÇÃO;RÚSSIA;103481;R$ 1.329.853,46;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
22/02/2024;CEDO DEMAIS;B2300486200000;FICÇÃO;BRASIL;366;R$ 4.368,80;THE WALT DISNEY COMPANY (BRASIL) LTDA.;18398;73.042.962/0001-87
22/02/2024;DEMON SLAYER: KIMETSU NO YAIBA – TO THE HASHIRA TRAINING;E2400016700000;ANIMAÇÃO;JAPÃO;387471;R$ 5.377.036,05;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
22/02/2024;FERRARI;E2300498900000;FICÇÃO;ESTADOS UNIDOS;267123;R$ 5.138.944,63;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
22/02/2024;FOGARÉU;B2300051700000;FICÇÃO;BRASIL;121;R$ 1.320,00;LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;22808;05.249.852/0001-30
22/02/2024;LEVANTE;B2300535000000;FICÇÃO;BRASIL;2939;R$ 34.161,73;LIRA FILMES PRODUÇÕES LTDA ME;28406;21.054.261/0001-64
22/02/2024;PERFECT DAYS;E2300581500000;FICÇÃO;ALEMANHA;83815;R$ 1.670.318,80;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
15/02/2024;BOB MARLEY: ONE LOVE;E2300561500000;FICÇÃO;ESTADOS UNIDOS;1264767;R$ 22.692.124,99;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;169;27.654.722/0001-16
15/02/2024;HORIZONTE;B2300126400000;FICÇÃO;BRASIL;231;R$ 4.878,19;A2 DISTRIBUIDORA DE FILMES LTDA EPP;34811;18.338.912/0001-33
15/02/2024;MASHA AND THE BEAR - TWICE THE FUN;E2400003000000;ANIMAÇÃO;RÚSSIA;164623;R$ 2.749.096,65;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
15/02/2024;THE ZONE OF INTEREST;E2300522600000;FICÇÃO;ESTADOS UNIDOS;186075;R$ 3.832.057,35;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
14/02/2024;MADAME WEB;E2300503800000;FICÇÃO;ESTADOS UNIDOS;1129891;R$ 18.333.492,95;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;84;00.979.601/0001-98
08/02/2024;BAGHEAD;E2300539200000;FICÇÃO;REINO UNIDO;342841;R$ 5.832.294,15;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32
08/02/2024;ERNEST ET CÉLESTINE, LE VOYAGE EN CHARABIE;E2400020000000;ANIMAÇÃO;FRANÇA;783;R$ 11.895,89;BONFILM PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA;14462;10.383.039/0001-99
08/02/2024;MONEYBOYS;E2400007000000;FICÇÃO;ÁUSTRIA;1258;R$ 18.666,64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
08/02/2024;PEPPA'S CINEMA PARTY;E2300562100000;ANIMAÇÃO;REINO UNIDO;24939;R$ 492.098,45;UNITED CINEMAS INTERNATIONAL BRASIL LTDA.;749;01.289.530/0001-64
08/02/2024;THE COLOR PURPLE;E2300459900000;FICÇÃO;ESTADOS UNIDOS;39318;R$ 952.844,29;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
08/02/2024;TOUT LE MONDE AIME JEANNE;E2400003100000;FICÇÃO;FRANÇA;1112;R$ 23.475,47;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
01/02/2024;ARGYLLE;E2300489500000;FICÇÃO;ESTADOS UNIDOS;183921;R$ 3.624.626,81;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
01/02/2024;CUANDO ACECHA LA MALDAD;E2300568700000;FICÇÃO;ARGENTINA;105450;R$ 2.066.206,09;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
01/02/2024;GATO GALACTICO E O FEITIÇO DO TEMPO;B2300330400000;FICÇÃO;BRASIL;24493;R$ 556.589,58;SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA;277;02.185.369/0001-41
01/02/2024;LOS COLONOS;E2300568800000;FICÇÃO;CHILE;627;R$ 7.877,00;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
